"","Feature_chr","Feature_start","Feature_end","Feature_gene_biotype","Feature_gene_name","PBS_2","PBS_3","PBS_4","PBS_5","FPAS_2","FPAS_3","FPAS_4","FPAS_5","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","FoldChange","baseMean_PBS","baseMean_FPAS","DE_status"
"ENSMUSG00000057897.14","chr11",5969644,6066362,"protein_coding","Camk2b",2890,1696,2148,2061,336,1309,472,628,1307.05520418508,-1.37715058981635,0.303811283014196,-4.53291456509863,5.81753492766633e-06,0.00402695185596844,0.384978400626233,1887.7728234729,726.337584897252,"DOWN"
"ENSMUSG00000051236.13","chr10",120781096,120899101,"protein_coding","Msrb3",2794,1849,2332,1530,767,1199,703,583,1344.51766908371,-1.03955673990325,0.229480633556424,-4.53004126663111,5.89721667446036e-06,0.00402695185596844,0.48647691809779,1809.2615251132,879.77381305422,"DOWN"
"ENSMUSG00000036371.6","chr6",67238176,67297736,"protein_coding","Serbp1",5278,4593,4389,4705,2039,3038,2060,1196,3141.28281344077,-0.850645927068014,0.189189378903911,-4.49626682003146,6.91569438783206e-06,0.00402695185596844,0.554536402007014,4042.02178472025,2240.54384216129,"DOWN"
"ENSMUSG00000026083.12","chr1",37998010,38055579,"protein_coding","Eif5b",1173,1715,1522,1136,432,606,625,379,865.120575071184,-1.04763875441498,0.233374793262221,-4.48908273156068,7.15305149419752e-06,0.00402695185596844,0.483759281205304,1166.08569505325,564.155455089121,"DOWN"
"ENSMUSG00000064368.1","chrM",13552,14070,"protein_coding","mt-Nd6",12894,13798,14333,9340,1563,6531,5674,2183,7425.10164104799,-1.33324769726069,0.298330094693337,-4.46903520957609,7.85731973878093e-06,0.00402695185596844,0.396873820088765,10631.385588108,4218.81769398802,"DOWN"
"ENSMUSG00000038205.12","chr3",97658193,97673812,"protein_coding","Prkab2",2275,2027,2831,2386,646,975,1131,760,1514.74959515682,-1.06222132671731,0.238044941616752,-4.46227220584032,8.10951179280181e-06,0.00402695185596844,0.478894135373267,2048.40838593633,981.090804377319,"DOWN"
"ENSMUSG00000028207.18","chr4",9448069,9669344,"protein_coding","Asph",3239,4602,3271,3153,1429,2591,1467,1081,2373.80650982956,-0.765244803423476,0.173812281610482,-4.40270846417176,1.06907782895606e-05,0.00490395475048627,0.588353525486759,2989.57399815923,1758.03902149988,"DOWN"
"ENSMUSG00000021559.14","chr13",60601947,60763191,"protein_coding","Dapk1",1260,1859,1051,1485,1587,2612,1954,1572,1652.12556548562,0.835231933752569,0.190217333923361,4.39093491915456,1.1286432106988e-05,0.00490395475048627,1.78414384229077,1186.81489166251,2117.43623930873,"UP"
"ENSMUSG00000051504.18","chr7",55768178,55778925,"protein_coding","Siglech",150,102,30,109,0,0,0,0,41.2577462417219,-8.64870510317989,1.97741003420936,-4.37375402853054,1.22127980209459e-05,NA,0.00249161157804543,82.5154924834439,0,"NS"
"ENSMUSG00000042155.3","chr2",69821944,69836651,"protein_coding","Klhl23",920,472,1008,938,134,432,70,64,451.057700776803,-2.07578013856787,0.482011287457903,-4.3064969484748,1.65860216455606e-05,0.0067827072047022,0.237207225541775,729.584568510601,172.530833043004,"DOWN"
"ENSMUSG00000032314.14","chr9",55454508,55512243,"protein_coding","Etfa",1862,1866,1925,1431,623,1152,399,523,1109.79461261926,-1.05818838638452,0.246617014955572,-4.29081661934459,1.78017275644845e-05,0.00678885848044355,0.480234719077003,1499.81835463045,719.770870608075,"DOWN"
"ENSMUSG00000002981.10","chr7",19631571,19665033,"protein_coding","Clptm1",982,1313,889,807,1025,1785,1629,1127,1182.65453149855,0.878865071135684,0.205264823978643,4.28161559345952,1.85541299091524e-05,0.00678885848044355,1.83892809747692,833.057985641484,1532.25107735562,"UP"
"ENSMUSG00000032637.15","chr7",126491708,126503437,"protein_coding","Atxn2l",3492,4232,2908,2704,3990,4644,4296,2978,3596.56892807699,0.659508139046404,0.1559864014873,4.22798482917821,2.35793686397448e-05,0.00757898329214472,1.57954401476494,2788.31366459093,4404.82419156304,"UP"
"ENSMUSG00000005583.16","chr13",83504034,83667080,"protein_coding","Mef2c",6181,5191,5909,4846,2170,3375,2278,2369,3765.76889224082,-0.743853532568382,0.176057099430587,-4.22506979255135,2.38866737215501e-05,0.00757898329214472,0.597142214420025,4715.59526403994,2815.94252044169,"DOWN"
"ENSMUSG00000025488.9","chr7",140898945,140900446,"protein_coding","Cox8b",2115,1451,1390,1402,269,1088,427,246,933.943674976048,-1.38801156673492,0.328589333314311,-4.22415284371761,2.39841243422301e-05,0.00757898329214472,0.382091066783103,1352.07162932131,515.815720630787,"DOWN"
"ENSMUSG00000027416.2","chr2",143078473,143081713,"protein_coding","Otor",156,143,40,40,0,0,0,0,38.4007521111834,-8.54539146464119,2.02645856190262,-4.2169090576508,2.4767380050783e-05,NA,0.00267658379619352,76.8015042223668,0,"NS"
"ENSMUSG00000015880.13","chr5",45669919,45700546,"protein_coding","Ncapg",71,92,99,82,0,0,0,0,36.6063863787371,-8.47608353499907,2.02160218258931,-4.19275543328843,2.75586500725885e-05,NA,0.00280830717926886,73.2127727574742,0,"NS"
"ENSMUSG00000042507.15","chr12",84149176,84218881,"protein_coding","Elmsan1",1868,2230,1694,1903,2392,2389,3024,2243,2234.74456400374,0.806119917436289,0.19278069679992,4.18153856074569,2.89543132907927e-05,0.00858827296848406,1.74850257107128,1625.94251478141,2843.54661322607,"UP"
"ENSMUSG00000026100.6","chr1",53061640,53068079,"protein_coding","Mstn",587,1497,657,482,96,409,68,55,402.494708707928,-2.08770790436299,0.49991244465743,-4.17614709670533,2.96488134700255e-05,0.00858827296848406,0.23525415285191,652.073055432727,152.91636198313,"DOWN"
"ENSMUSG00000027580.17","chr2",181227615,181242027,"protein_coding","Helz2",1334,1581,1387,1378,1410,2663,1750,1572,1610.81116451085,0.745727536667587,0.178991252259302,4.16627923015624,3.09611438963734e-05,0.00860967489470352,1.67681965952623,1203.71057092228,2017.91175809942,"UP"
"ENSMUSG00000041130.10","chr17",24669687,24682016,"protein_coding","Zfp598",1279,1642,898,1077,1554,1700,2166,1340,1458.35059507225,0.893456527129737,0.216014349130106,4.1360980450035,3.5326130323531e-05,0.00927663437589502,1.8576214382606,1020.43431002671,1896.2668801178,"UP"
"ENSMUSG00000024099.15","chr17",66078638,66101559,"protein_coding","Ndufv2",3182,2831,3084,2350,928,2099,1196,810,1883.67882584604,-0.861506263509203,0.208517556965551,-4.13157662139469,3.60283556025842e-05,0.00927663437589502,0.55037762932382,2430.5541181447,1336.80353354738,"DOWN"
"ENSMUSG00000050762.5","chr17",24038144,24045954,"protein_coding","Prss27",228,190,62,82,0,5,0,0,58.1859059453666,-6.6475986157544,1.61170002490833,-4.12458802073451,3.71398941004189e-05,NA,0.00997409309629275,115.314986981555,1.05682490917799,"NS"
"ENSMUSG00000019577.6","chr6",5483351,5496309,"protein_coding","Pdk4",3179,2864,1781,4403,593,1948,855,886,1883.46433040915,-1.21241753067051,0.294331769098506,-4.11922075005345,3.80155822583683e-05,0.00933010162737591,0.431544867723214,2631.70882679676,1135.21983402155,"DOWN"
"ENSMUSG00000064367.1","chrM",11742,13565,"protein_coding","mt-Nd5",50623,51787,47619,33541,9701,31223,16909,7844,27802.0851843994,-1.18447212564753,0.287926643204567,-4.11379826633821,3.89201592626441e-05,0.00933010162737591,0.439985496838206,38614.9560045108,16989.214364288,"DOWN"
"ENSMUSG00000031394.11","chrX",74127464,74150760,"protein_coding","Opn1mw",84,18,228,25,0,0,0,0,39.2123624679964,-8.57516107069203,2.09657628956988,-4.09007824487572,4.31227688051843e-05,NA,0.00262191917715977,78.4247249359929,0,"NS"
"ENSMUSG00000041695.2","chr11",111066164,111076821,"protein_coding","Kcnj2",1703,1593,1733,1062,611,807,476,193,919.255044575767,-1.21915111082705,0.30130167344198,-4.04628058284521,5.20378550360607e-05,0.011856065247478,0.42953538470327,1286.46027251942,552.049816632113,"DOWN"
"ENSMUSG00000008892.12","chr8",22577075,22593813,"protein_coding","Vdac3",1814,1697,1869,1198,381,1072,596,218,987.794656533206,-1.25048450144911,0.30958950449606,-4.03916955610173,5.36407797428133e-05,0.011856065247478,0.420307031870198,1391.5034368254,584.085876241013,"DOWN"
"ENSMUSG00000051285.17","chr1",7088920,7173628,"protein_coding","Pcmtd1",1944,1918,2198,2030,774,1331,874,688,1363.0643534982,-0.798153930226123,0.197801566635819,-4.03512441180831,5.45733728307386e-05,0.011856065247478,0.575084584003187,1731.13084811433,994.997858882068,"DOWN"
"ENSMUSG00000036745.15","chr3",146852367,146984009,"protein_coding","Ttll7",3369,1113,3228,2220,415,1500,820,379,1486.1327724116,-1.42956244949692,0.355640013466633,-4.01968956069406,5.82748778389297e-05,0.0122765742647345,0.371243468864868,2168.02002635421,804.245518468993,"DOWN"
"ENSMUSG00000040009.6","chr10",74967177,75016907,"protein_coding","Gnaz",103,142,32,83,0,0,1,0,37.0928685510743,-7.76839048450177,1.93756470043203,-4.00935797538508,6.08840587687266e-05,NA,0.00458650050998882,73.8981047707806,0.287632331367867,"NS"
"ENSMUSG00000028788.14","chr4",129811219,129850003,"protein_coding","Ptp4a2",5994,5004,6139,4044,2075,3901,1775,1781,3528.02238069051,-0.818666771276827,0.204231807223221,-4.00851749004033,6.1101114254122e-05,0.0124933807733722,0.566965647035612,4503.45592665128,2552.58883472973,"DOWN"
"ENSMUSG00000060938.14","chr11",68901583,68906989,"protein_coding","Rpl26",819,720,832,637,930,1190,1464,917,949.752357711395,0.975453722409271,0.244071539246438,3.99658938285451,6.42616246358311e-05,0.012584448533368,1.96625948140687,640.378576930621,1259.12613849217,"UP"
"ENSMUSG00000064345.1","chrM",3914,4951,"protein_coding","mt-Nd2",13825,12462,15656,8339,2773,9934,3931,2542,7782.46985955637,-1.11611069840818,0.279741326889018,-3.98979554011685,6.61302748771155e-05,0.012584448533368,0.461335846535728,10651.8417978504,4913.09792126229,"DOWN"
"ENSMUSG00000027828.12","chr3",65379655,65392623,"protein_coding","Ssr3",2177,2763,2325,2264,770,1686,575,892,1533.60906732905,-0.935197583009874,0.234574872459942,-3.9867764744051,6.69770707328275e-05,0.012584448533368,0.522970841987265,2014.22319384194,1052.99494081616,"DOWN"
"ENSMUSG00000025980.14","chr1",55077835,55088243,"protein_coding","Hspd1",1779,2833,1794,1269,800,1174,706,448,1211.69129373367,-0.917640749858158,0.230772987704431,-3.97637851373425,6.99727196145286e-05,0.0128013249147422,0.52937400215274,1584.81502602837,838.567561438964,"DOWN"
"ENSMUSG00000096169.3","chr17",33211206,33221690,"protein_coding","Olfr1564",147,94,61,44,0,0,0,1,36.1452381654369,-7.72972990325465,1.94837241303689,-3.96727537894384,7.2698975324247e-05,NA,0.00471106873556195,71.9466954750962,0.343780855777447,"NS"
"ENSMUSG00000028864.7","chr5",16553495,16620152,"protein_coding","Hgf",31,84,78,117,0,0,0,0,33.484080512059,-8.34736793295937,2.10476512876619,-3.96593796565443,7.31078764679493e-05,NA,0.00307037815382417,66.968161024118,0,"NS"
"ENSMUSG00000038622.8","chr15",52712408,52730564,"protein_coding","Med30",35,139,101,50,0,0,0,0,33.3606818010458,-8.34231901185544,2.10439966475179,-3.96422749517943,7.36340067858451e-05,NA,0.00308114221290161,66.7213636020916,0,"NS"
"ENSMUSG00000032423.12","chr9",88447009,88482574,"protein_coding","Syncrip",1682,2242,2085,1810,856,1291,680,724,1310.9911517345,-0.774700773600523,0.195537982707635,-3.96189406719431,7.43575321395322e-05,0.0132547067547187,0.584509843689007,1654.94596593616,967.036337532837,"DOWN"
"ENSMUSG00000021303.14","chr13",13784059,13827896,"protein_coding","Gng4",48,84,52,121,0,0,0,0,32.8183698912999,-8.31841444125688,2.10903394709399,-3.94418233652365,8.00727176502744e-05,NA,0.00313262014779951,65.6367397825999,0,"NS"
"ENSMUSG00000029134.14","chr5",32232708,32366520,"protein_coding","Plb1",91,149,25,62,0,0,0,0,33.0008061389869,-8.32676562470569,2.11769117237195,-3.93200185812701,8.42414144497745e-05,NA,0.00311453904773369,66.0016122779738,0,"NS"
"ENSMUSG00000022707.16","chr16",70313949,70569716,"protein_coding","Gbe1",1401,1121,1353,1123,429,833,407,322,798.473487292135,-1.01194631563884,0.257371132440007,-3.93185632765059,8.42924394783104e-05,0.0146500259813303,0.495876817179197,1067.98606122384,528.96091336043,"DOWN"
"ENSMUSG00000033917.15","chr7",118688545,118705778,"protein_coding","Gde1",497,661,814,476,648,1651,1009,795,810.463767682764,1.08509085685192,0.27822798922498,3.90000610605174,9.61902620629175e-05,0.0163101146795464,2.12150908516932,519.429460683438,1101.49807468209,"UP"
"ENSMUSG00000059447.13","chr5",30155248,30184593,"protein_coding","Hadhb",2636,2503,2426,2099,1197,1682,892,750,1633.84034361288,-0.748094556622593,0.192204107161097,-3.89218819343736,9.93441347625346e-05,0.0164438196397414,0.595389400596156,2048.62190680797,1219.05878041778,"DOWN"
"ENSMUSG00000075408.5","chr15",101293212,101297426,"protein_coding","Smim41",0,0,0,0,0,56,90,128,40.8636491727073,9.03384700944999,2.33180638843542,3.87418400354904,0.000106982559817883,NA,524.154026174923,0,81.7272983454147,"NS"
"ENSMUSG00000000183.6","chr6",127015586,127028187,"protein_coding","Fgf6",119,91,63,32,0,0,0,0,31.5447056230494,-8.26155426686718,2.13350706986301,-3.87228820732132,0.000107818353057231,NA,0.00325854974160981,63.0894112460988,0,"NS"
"ENSMUSG00000015568.16","chr8",68880491,68907448,"protein_coding","Lpl",7018,7114,7253,4890,1680,4761,3191,1564,4249.0978037054,-0.909513504088627,0.235275765675138,-3.86573390369689,0.000110755643482769,0.0179063542672607,0.532364581362704,5546.35897185781,2951.83663555299,"DOWN"
"ENSMUSG00000040969.14","chr3",133112278,133234949,"protein_coding","Arhgef38",155,370,232,281,332,683,417,829,431.901996502173,1.56897203127976,0.406532940679332,3.85939704826365,0.000113667130183268,0.0179594065689563,2.96693234886998,217.667427067295,646.136565937052,"UP"
"ENSMUSG00000029246.14","chr5",76913249,76951578,"protein_coding","Ppat",613,815,555,773,267,150,54,145,379.253657196855,-1.73904602195923,0.452209630052939,-3.84566339676501,0.000120226714814745,0.0185736915864913,0.299567698975445,583.544029817027,174.963284576684,"DOWN"
"ENSMUSG00000029695.13","chr6",23072173,23132986,"protein_coding","Aass",0,344,19,119,0,0,0,0,46.7486657119351,-8.82918971158336,2.29984201904974,-3.83904182915636,0.00012351538870417,NA,0.00219861435604001,93.4973314238703,0,"NS"
"ENSMUSG00000001494.6","chr11",101962458,101967015,"protein_coding","Sost",0,293,67,95,0,0,0,0,44.8015233575173,-8.76778088973027,2.28488718945373,-3.83729268131898,0.000124398177281791,NA,0.00229421944717431,89.6030467150346,0,"NS"
"ENSMUSG00000061461.11","chr5",53267083,53278540,"protein_coding","Smim20",572,453,505,785,150,279,123,101,337.661111982392,-1.53728265579454,0.400872992991723,-3.83483717454191,0.00012564750236598,NA,0.344533779860613,502.498971447765,172.823252517019,"NS"
"ENSMUSG00000026430.16","chr1",131176410,131245258,"protein_coding","Rassf5",417,563,175,157,783,358,633,1133,570.103806584212,1.72483242948443,0.450166067519248,3.83154696441148,0.000127340060061739,0.0192449586423742,3.30541732269121,264.579685887499,875.627927280926,"UP"
"ENSMUSG00000068749.9","chr3",108256926,108279974,"protein_coding","Psma5",452,528,532,272,53,180,95,30,232.548399831359,-2.03197163925785,0.531988734981217,-3.81957644146279,0.000133681027616217,NA,0.244520675143213,373.953643726804,91.1431559359134,"NS"
"ENSMUSG00000022376.8","chr15",64697084,64922296,"protein_coding","Adcy8",31,374,74,0,0,0,0,0,44.6725120758164,-8.76380252039866,2.31979488987196,-3.77783508303287,0.000158197576577382,NA,0.00230055470739231,89.3450241516328,0,"NS"
"ENSMUSG00000057606.14","chr14",31523082,31591343,"protein_coding","Colq",235,154,235,245,22,3,0,0,97.7644696766683,-4.74102312056271,1.25847690529996,-3.76727065915658,0.000165042039509102,NA,0.0373946808107659,188.477916763506,7.05102258983074,"NS"
"ENSMUSG00000064351.1","chrM",5328,6872,"protein_coding","mt-Co1",76164,78745,78187,44039,14698,50544,22663,13508,42160.3807490078,-1.15482459248245,0.306959781480065,-3.76213648222657,0.000168468067092832,0.0244225571152948,0.449120788677,58188.0355070184,26132.7259909972,"DOWN"
"ENSMUSG00000031818.12","chr8",120668222,120674207,"protein_coding","Cox4i1",4204,3757,4196,2389,1160,2964,1150,694,2302.4037588179,-1.0000720246285,0.265842034334159,-3.76190329393669,0.000168625250508364,0.0244225571152948,0.499975038788994,3070.61352251906,1534.19399511675,"DOWN"
"ENSMUSG00000025386.2","chr11",120447605,120453500,"protein_coding","Pde6g",0,0,0,0,34,68,184,0,38.6071188661408,8.95244323782953,2.37994904068113,3.76161131385712,0.000168822257761426,NA,495.397657937251,0,77.2142377322815,"NS"
"ENSMUSG00000029119.9","chr5",36806921,36830653,"protein_coding","Man2b2",871,700,735,898,952,1951,1033,885,989.838269064448,0.909036610481748,0.242268440911451,3.75218747873976,0.000175298290214138,0.0248708921136467,1.87779114570355,688.255243019942,1291.42129510895,"UP"
"ENSMUSG00000041945.12","chr1",40772038,40790687,"protein_coding","Mfsd9",15,58,49,160,0,0,0,0,31.357209135241,-8.25254062411067,2.19965138396342,-3.7517493382251,0.000175604990263013,NA,0.00327897217800274,62.7144182704819,0,"NS"
"ENSMUSG00000037572.17","chr14",47240944,47276857,"protein_coding","Wdhd1",48,115,104,24,0,0,0,0,29.8464973486093,-8.18174702634514,2.18155455328433,-3.7504205494323,0.000176538236312038,NA,0.00344388569226798,59.6929946972186,0,"NS"
"ENSMUSG00000024538.8","chr18",53406332,53418115,"protein_coding","Ppic",435,643,504,752,130,211,210,58,330.942452986436,-1.61350512703711,0.430497652251178,-3.74799982903436,0.000178250375838837,NA,0.326803394283834,499.026606775849,162.858299197024,"NS"
"ENSMUSG00000024593.15","chr18",57133090,57297467,"protein_coding","Megf10",33,56,51,129,0,0,0,0,29.6039646922407,-8.16957682839051,2.19147329714554,-3.72789248175262,0.000193087716155187,NA,0.0034730602926836,59.2079293844813,0,"NS"
"ENSMUSG00000019256.17","chr12",35497974,35535038,"protein_coding","Ahr",846,445,359,323,822,1036,649,963,696.018352044411,1.23203247040003,0.331250343701203,3.71933944772404,0.000199744465582076,0.0272432552126104,2.34897680970431,415.568484661429,976.468219427392,"UP"
"ENSMUSG00000034255.17","chr11",103331497,103363692,"protein_coding","Arhgap27",1061,1018,981,933,1369,1162,1316,2109,1298.49606644136,1.04247134614973,0.280334974742198,3.71866317111664,0.000200279901372043,0.0272432552126104,2.05975300349802,848.520144480477,1748.47198840223,"UP"
"ENSMUSG00000020814.13","chr11",116803062,116828046,"protein_coding","Mxra7",187,323,132,144,401,512,338,332,298.662559181581,1.43948385052207,0.387329888107648,3.71642853990655,0.000202058755142379,NA,2.71223813048909,160.788185298617,436.536933064546,"NS"
"ENSMUSG00000031833.10","chr8",70778117,70805054,"protein_coding","Mast3",629,821,713,383,1146,1029,697,962,806.738437988619,1.02865924704663,0.277303417975427,3.70950799869975,0.00020766239708414,0.0272432552126104,2.04012739991993,530.52179688368,1082.95507909356,"UP"
"ENSMUSG00000029684.14","chr6",24613805,24665009,"protein_coding","Wasl",1017,869,690,940,1057,1268,1334,1195,1059.8192163892,0.872186225796464,0.235230470614753,3.70779441760707,0.00020907227622058,0.0272432552126104,1.83043459695659,748.803777655249,1370.83465512316,"UP"
"ENSMUSG00000030830.18","chr7",127296260,127335138,"protein_coding","Itgal",26,69,78,63,209,239,88,487,177.285705731171,2.59448090948887,0.70039750781619,3.70429774597336,0.000211977159435474,NA,6.03971682415015,50.3614462585668,304.209965203774,"NS"
"ENSMUSG00000029033.16","chr4",155891822,155907251,"protein_coding","Acap3",994,955,721,875,1180,1208,1060,1646,1110.44073406089,0.969262055662311,0.261672110804912,3.70410913368196,0.000212134922753576,0.0272432552126104,1.95783889650972,750.618345645563,1470.26312247621,"UP"
"ENSMUSG00000021282.17","chr12",111538016,111546752,"protein_coding","Eif5",3493,3557,2935,2390,1533,2192,1378,1189,2157.96493141851,-0.599784002485297,0.162268343029131,-3.69624777876497,0.000218809429297687,0.0272432552126104,0.659852739868943,2600.36184711141,1715.5680157256,"DOWN"
"ENSMUSG00000041879.13","chr1",135382312,135430499,"protein_coding","Ipo9",1482,1817,1377,1127,1346,2281,1799,1537,1567.49704743883,0.660957131111813,0.178854384770253,3.69550420561869,0.000219450847512397,0.0272432552126104,1.58113125006599,1214.42953142902,1920.56456344864,"UP"
"ENSMUSG00000060093.6","chr13",23760692,23761230,"protein_coding","H4c1",98,19,43,105,0,0,0,0,29.4273521837466,-8.16092889065783,2.21387278051771,-3.68626822754892,0.000227566501401993,NA,0.00349394135705846,58.8547043674933,0,"NS"
"ENSMUSG00000034247.9","chr11",103364275,103412687,"protein_coding","Plekhm1",1303,1667,1103,1618,1585,2125,1938,1495,1594.17395740654,0.717955364220542,0.194924014183076,3.68325763877521,0.00023027221424353,0.0277352798773044,1.64484924637596,1205.50302191361,1982.84489289947,"UP"
"ENSMUSG00000011960.12","chr15",98538689,98570923,"protein_coding","Ccnt1",1003,1124,875,849,380,421,463,228,611.175253923183,-0.979047400147889,0.266108155157406,-3.67913339434777,0.000234027841962155,0.0277352798773044,0.507314605053799,810.972204823767,411.378303022599,"DOWN"
"ENSMUSG00000055027.17","chr6",71213940,71322233,"protein_coding","Smyd1",4292,3110,3953,2926,1104,2466,1840,962,2375.73014895136,-0.839127651319387,0.228168864600556,-3.67766063432189,0.000235382841306237,0.0277352798773044,0.558981463970807,3048.26048338801,1703.19981451471,"DOWN"
"ENSMUSG00000026611.17","chr1",187044648,187215465,"protein_coding","Spata17",123,54,0,191,0,0,0,0,40.5718313466885,-8.62435357534181,2.35378379577025,-3.6640381290923,0.000248269802157911,NA,0.00253402491487404,81.143662693377,0,"NS"
"ENSMUSG00000020580.10","chr12",16894895,16987823,"protein_coding","Rock2",4585,5239,5445,4562,2446,3571,1554,1917,3394.28796849244,-0.710910796467997,0.194101741065611,-3.66256785006216,0.000249699585390937,0.0289318586272965,0.610934324457114,4214.33736074182,2574.23857624306,"DOWN"
"ENSMUSG00000050075.8","chr3",59096448,59101821,"protein_coding","Gpr171",72,60,87,39,0,0,0,0,27.392659482652,-8.05779389763631,2.21118969015266,-3.64409889098209,0.000268330242863585,NA,0.00375285977984164,54.785318965304,0,"NS"
"ENSMUSG00000060036.14","chr15",80077791,80091868,"protein_coding","Rpl3",1660,2064,1169,1162,2445,2106,1352,2096,1762.36610727912,0.850628102147723,0.234053974260896,3.63432453917464,0.000278709854933319,0.0305918177422938,1.80328584591357,1256.99997298578,2267.73224157247,"UP"
"ENSMUSG00000027784.10","chr3",69316861,69560802,"protein_coding","Ppm1l",3335,2834,3755,2705,853,2402,1480,750,2069.95042532369,-0.905874440465206,0.249348742020495,-3.6329617431587,0.000280186573018393,0.0305918177422938,0.533709116363646,2699.86888653855,1440.03196410883,"DOWN"
"ENSMUSG00000064057.12","chr11",49663610,49665118,"protein_coding","Scgb3a1",1813,3821,1417,1465,1068,688,586,614,1282.35916844425,-1.04753303109986,0.288466584945532,-3.6313843119738,0.000281905022518697,0.0305918177422938,0.483794733263785,1728.1525684777,836.565768410812,"DOWN"
"ENSMUSG00000020234.10","chr10",81363067,81365816,"protein_coding","4930404N11Rik",68,26,38,121,0,0,0,0,28.2244619215686,-8.10067438087211,2.23192534534586,-3.62945579598534,0.000284019360429374,NA,0.00364295684243619,56.4489238431372,0,"NS"
"ENSMUSG00000000385.8","chr16",97564682,97611195,"protein_coding","Tmprss2",808,655,755,391,891,1579,1093,581,829.073539832037,1.00964521845448,0.278713899802843,3.62251476933402,0.000291752797256478,0.0305918177422938,2.01341590838799,550.397388358769,1107.7496913053,"UP"
"ENSMUSG00000037111.9","chr3",51515319,51560879,"protein_coding","Setd7",6588,5304,7068,5068,2283,4290,2928,1245,3989.67903024723,-0.852973007466223,0.235466724331397,-3.62247791015152,0.000291794385970573,0.0305918177422938,0.553642650687777,5136.50557436846,2842.85248612601,"DOWN"
"ENSMUSG00000052496.5","chr15",85814670,85821734,"protein_coding","Pkdrej",80,132,86,3,0,0,0,0,30.183931538736,-8.19806911383296,2.2636141521354,-3.62167249489019,0.000292704534553888,NA,0.00340514249232892,60.3678630774721,0,"NS"
"ENSMUSG00000016028.11","chr15",85898929,86034203,"protein_coding","Celsr1",3383,4459,3331,3193,4804,4960,3447,3210,3781.2174944375,0.590550850842935,0.16352398989891,3.61140191850757,0.00030454626152851,0.0305918177422938,1.50582159152763,3017.83583100287,4544.59915787213,"UP"
